smiles,MW,LogP,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
CCCCNC(=O)NCCCC,172.27199999999993,1.8858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)N(c1ccccc1)C(C)C,177.29099999999997,3.309800000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCc1cccc(C)c1,120.19499999999996,2.5574200000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,438.6330000000002,9.3187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,356.547,4.920300000000006,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCCCCCCC=CC1CC(=O)OC1=O,266.381,4.163100000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,502.9200000000002,7.395680000000005,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,
CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],438.76700000000005,3.748700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCOP(=S)(CC)Sc1ccccc1,246.33700000000005,4.144600000000003,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC/C=C\CCCCO,128.215,2.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,263.296,3.641200000000002,,0.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,324.4240000000001,3.1732000000000014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
CC(=O)CCC(C)=O,114.14399999999999,0.9446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N#CCCNCCC#N,123.15899999999999,0.40336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,634.6920000000003,7.293400000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,431.4030000000002,1.2058,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0
O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,629.6320000000002,6.436700000000006,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,0.0
CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,356.56,4.4043000000000045,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,318.339,3.201500000000001,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0
Cc1ccccc1CCO,136.19400000000002,1.52982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1nc(C)c(C)nc1C,136.19799999999998,1.7102799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=CC(O)CC(C)(C)C1,140.226,2.1136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cnc(C)c(C)n1,122.17099999999999,1.4018599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)COC(=O)c1ccccc1,178.231,2.4994000000000005,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)[C@@H]1CC=C(C)CC1,136.23799999999997,3.308900000000002,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],164.086,-0.8590000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc1ccc(N)c([N+](=O)[O-])c1,153.14100000000002,0.7592000000000001,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,
CC1COc2ccccc2N1,149.19299999999998,1.8793999999999997,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
O=C(O)c1cc(Cl)cc(Cl)c1O,207.012,2.3972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CCCCCCCCCCCC(=O)NCCCN(C)C,284.488,3.9752000000000027,0.0,,0.0,,,,,,0.0,,,
CC(C)CCCCCOC(=O)CCS,218.362,3.0659000000000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,263.037,-1.1386000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,398.5680000000001,1.9720999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=CCOc1c(Br)cc(Br)cc1Br,370.86600000000004,4.538900000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
F[B-](F)(F)F.[H+],87.81200000000001,1.4125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,156.269,2.439500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(=C/c1ccccc1)\c1ccccc1,180.24999999999997,3.857000000000003,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0
Cc1ccc2c(ccc3ccccc32)c1,192.261,4.301420000000003,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,266.25699999999995,-1.1933999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,246.19400000000002,-1.6851999999999996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,267.328,2.8499000000000025,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,,,0.0
COC(=O)C1=CCCN(C)C1,155.197,0.4213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,252.269,2.8580000000000005,,,,,,,,0.0,,0.0,,
Cc1ccc(C(=O)O)cc1[N+](=O)[O-],181.147,1.60142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cc(C(=O)O)ccc1[N+](=O)[O-],181.14699999999996,1.60142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,282.448,3.5158000000000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CCCCCC(C)O,116.20399999999998,1.9475000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C([O-])c1ccccc1O,137.11399999999998,-0.24430000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
NC(=O)c1ccccc1,121.13899999999995,0.7855000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCN1CCc2nc(N)oc2CC1,181.23899999999998,0.6773000000000001,,,,,,,,0.0,,0.0,,
CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,361.52900000000017,4.844800000000005,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,278.221,-3.6124999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,333.13800000000003,-0.45710000000000006,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,363.50500000000017,3.308500000000002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,266.34099999999995,0.45210000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,401.5010000000001,4.224000000000004,0.0,,0.0,,,0.0,,1.0,0.0,0.0,0.0,0.0
Nc1ccc([N+](=O)[O-])cc1N,153.141,0.7592000000000001,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.0
[I-].[K+],166.002,-5.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,354.31100000000004,-0.6459000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oc1nc(Cl)c(Cl)cc1Cl,198.436,2.7474,0.0,,1.0,,0.0,0.0,,1.0,0.0,0.0,1.0,0.0
C/C=C/C=C/C=O,96.12899999999999,1.3176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,270.54999999999995,3.1752000000000002,1.0,,0.0,,,0.0,,1.0,0.0,0.0,,0.0
C[Si](C)(C)N[Si](C)(C)C,161.397,2.2458,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CC(=O)OCCCl,134.562,0.9543999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
COCC(C)N(C(=O)CCl)c1c(C)csc1C,275.80100000000004,2.9716400000000016,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0
CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,525.6420000000002,-0.653199999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-],333.27400000000006,1.2690000000000001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,406.2690000000001,4.665500000000003,0.0,0.0,0.0,,,,,1.0,,0.0,,
CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,383.5320000000002,4.452600000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,324.44900000000007,0.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,383.5170000000001,0.08690000000000164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,339.4830000000001,3.361900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,326.44,1.5545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,434.50400000000025,2.2747000000000006,1.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0
CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,401.42200000000014,5.242900000000003,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
O=C(O)/C=C(\CC(=O)O)C(=O)O,174.108,-0.44329999999999964,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,1045.7159999999988,22.611800000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,180.15599999999998,-3.3772000000000006,,,,,,,,0.0,,0.0,,
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,267.306,1.3016,0.0,0.0,0.0,,,0.0,,1.0,0.0,,,1.0
CNCC(=O)c1ccc(O)c(O)c1,181.19099999999997,0.49990000000000007,,,,,,,,0.0,,0.0,,
CC(C)(C)C1CCC(=O)CC1,154.25299999999996,2.791800000000001,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,527.5740000000002,0.46980000000000227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,270.76300000000003,3.627200000000003,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,269.35200000000003,1.9118000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CCCCC(=O)[O-],101.12499999999999,-0.07350000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CCCCCCCCCCCCCC(=O)OC,242.40299999999993,4.8605000000000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc1ccncc1N,109.132,0.2460000000000001,,,,,,,,0.0,,0.0,,
CCCCCCC(C)O,130.231,2.3376000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC[Si](OC)(OC)OC,164.27699999999996,1.2745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(CC=O)C(C)(C)CCC1,166.26399999999995,3.102000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCCNCCNCCN,146.238,-1.916999999999998,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,329.44000000000005,3.466880000000002,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,,1.0
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,342.2260000000001,3.653400000000003,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cc1ccc(N)c(N)c1,122.17100000000002,1.1594200000000001,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,0.0
CCCCCNCCCCC,157.301,2.9564000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COCC(C)O,90.122,0.013600000000000112,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1ccc2c(c1)Oc1ccccc1S2,200.262,3.943500000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CC1CN1,57.096,-0.021899999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,289.335,1.6333000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCC(=O)CCC(=O)O,131.131,-0.6210000000000004,,,,,,,,,,0.0,,
Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,416.1350000000001,6.454800000000002,0.0,,,1.0,0.0,,0.0,,0.0,1.0,0.0,
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,402.0640000000001,6.674800000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,406.482,3.738000000000002,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ClCOCCl,114.959,1.3956,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(O)CNCC(C)O,133.191,-0.6623999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,407.5710000000002,2.1140000000000003,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,341.4950000000001,4.264980000000004,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O=[N+]([O-])c1ccc([As](=O)(O)O)cc1,247.03799999999998,-0.8442000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
CCOC(=O)C1OC1c1ccccc1,192.214,1.6895999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
ONc1ccccc1,109.12799999999997,1.4876999999999998,0.0,0.0,1.0,,1.0,0.0,0.0,,0.0,0.0,,0.0
O=CC(=O)c1ccccc1,134.134,1.0682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
[Cu]I,190.45,0.8832000000000001,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],293.44900000000007,3.874500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClCc1ccc(Cl)cc1Cl,195.476,3.7322000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,
O=C(O)CCCCCCCCC(=O)O,202.24999999999997,2.2763999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCC(=O)OC,158.24099999999999,2.5199000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(O)COCC(C)O,134.175,-0.2354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(C(=O)C(=O)[O-])cc1C,177.179,0.2360399999999998,,,,,,,,0.0,,0.0,,
